Product Name,Description,Quantity,Unit Price,Total Price,Link,Shipping cost
Jumper wies 120 pcs,,1,£6.49 ,£6.49 ,https://www.aliexpress.com/item/1005003219096948.html?spm=a2g0o.productlist.main.1.7de720deXoIhju&algo_pvid=e50ca0bc-5230-402f-bafa-bd35153d17e2&algo_exp_id=e50ca0bc-5230-402f-bafa-bd35153d17e2-0&pdp_ext_f=%7B%22order%22%3A%224908%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%213.04%211.99%21%21%213.92%212.57%21%40210390c217739576394244239e440f%2112000024783046537%21sea%21UK%214777915101%21X%211%210%21n_tag%3A-29919%3Bd%3Ad383ee7c%3Bm03_new_user%3A-29895%3BpisId%3A5000000202529707&curPageLogUid=mHtKhx4JM4MB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003219096948%7C_p_origin_prod%3A,
Raspberry Pi Pico 2,,1,£5.80 ,£5.80 ,https://thepihut.com/products/raspberry-pi-pico-2?variant=54063366701441,
10K½ Potentiometer Linear,Various uses,15,£0.64 ,£9.60 ,https://www.switchelectronics.co.uk/products/10k-linear-16mm-potentiometer-solder-lugs?currency=GBP&variant=45366012969269&gad_source=1&gad_campaignid=23285440990&gbraid=0AAAAAqEgT0A06VhANk1mY-LGWjg_ettwy&gclid=Cj0KCQjw9-PNBhDfARIsABHN6-19SaBTByBIoROo2EAx7qJIw7thd9UFW5iDgS9Z2yOffjIWailVQbkaAnu8EALw_wcB,
Rotary Encoder Dual Channel,Transposition selection,2,£2.23 ,£4.46 ,https://www.mouser.co.uk/ProductDetail/Alps-Alpine/EC12E24404A8?qs=vrbHPQ%2FMREixC15DRkmoKg%3D%3D&mgh=1&vip=1&utm_id=20797887762&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=20804236796&gbraid=0AAAAADn_wf1Yc5YD6mX0XBn4A9-y9y7zC&gclid=EAIaIQobChMI6e_1oNSskwMVqpNQBh29cR1ZEAQYAiABEgKa2_D_BwE,
50k½ Trimmer Resistor,For expo frequency adj,8,£0.52 ,£4.16 ,https://www.switchelectronics.co.uk/products/50k-3296-variable-potentiometer-trimmer,
SPST Toggle Switch,Various uses,5,£0.77 ,£3.85 ,https://www.switchelectronics.co.uk/products/on-off-miniature-toggle-switch-spst,
SSI2164 Quad VCA,Quad channel VCA,1,£3.80 ,£3.80 ,https://www.thonk.co.uk/shop/sound-semiconductor/,
SSI2144 LP VCF,LP VCF,1,£3.75 ,£3.75 ,https://www.thonk.co.uk/shop/sound-semiconductor/,
5K½ Trimmer Potentiometers,Various uses,7,£0.53 ,£3.71 ,https://www.switchelectronics.co.uk/products/5k-3296-variable-potentiometer-trimmer,
560pF Unpolarized PS Capacitor,,2,£1.81 ,£3.62 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/BFC237546561?qs=kL1ClTr6oBqT2w76ajcAjg%3D%3D,
10uF Unpolarized Capacitor,,2,£1.68 ,£3.36 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/MAL202129109E3?qs=sGAEpiMZZMsh%252B1woXyUXj1B1SwRpUa5c7cJ9BxtbM5g%3D,
10 Metres 22AWG Wire,,1,£2.91 ,£2.91 ,https://www.aliexpress.com/item/1005001980629942.html?spm=a2g0o.productlist.main.4.6783TBQVTBQVKF&aem_p4p_detail=202603191502341658615531161680000476243&algo_pvid=0313e203-703c-45dd-a6a7-f60ad83fd506&algo_exp_id=0313e203-703c-45dd-a6a7-f60ad83fd506-3&pdp_ext_f=%7B%22order%22%3A%22928%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%2119.41%218.49%21%21%2125.03%2110.94%21%402103867617739577540628741e4f95%2112000052003962793%21sea%21UK%214777915101%21X%211%210%21n_tag%3A-29919%3Bd%3Ad383ee7c%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126762&curPageLogUid=jSmtbV4berZY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001980629942%7C_p_origin_prod%3A&search_p4p_id=202603191502341658615531161680000476243_1,
0.1uF Unpolarized Ceramic Capacitor,,20,£0.19 ,£3.80 ,https://www.switchelectronics.co.uk/products/100nf-multilayer-ceramic-capacitor-50v-x7r,
40nF unpolarized Cap,,1,£2.44 ,£2.44 ,https://www.mouser.co.uk/ProductDetail/Vishay-Cera-Mite/565RZ5UBA102EU403M?qs=sGAEpiMZZMsh%252B1woXyUXj60lD1IcYh5%252B4rOAri0ImE8%3D,
100½ Fixed Resistor,Various uses,50,£0.05 ,£2.43 ,https://www.switchelectronics.co.uk/products/100r-0-25w-metal-film-resistor-1-pack-of-100,
1.8k½ Resistor,,1,£2.43 ,£2.43 ,https://www.switchelectronics.co.uk/products/1-8k-0-25w-metal-film-resistor-1-pack-of-100,
LM13700 Ics,Dual transconductance op amps,10,£0.23 ,£2.25 ,https://www.aliexpress.com/p/tesla-landing/index.html?UTABTest=aliabtest125094_24784&src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005006784050493&ds_e_product_merchant_id=5352391399&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17859500389&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17190468917&gbraid=0AAAAADznYb_6LHFq74zCUNIkGmmxeeDwp&gclid=Cj0KCQjw9-PNBhDfARIsABHN6-3mkEmhLHfLTFN5vEFrbZxns6Cdc7V6XB3JiG3q_7uBa_qddp86H6caAsCfEALw_wcB&aff_fcid=12229af95b1a4801aafa61cf7f3cc69a-1773781568224-05313-irey5Th&aff_fsk=irey5Th&aff_platform=promotion&sk=irey5Th&aff_trace_key=12229af95b1a4801aafa61cf7f3cc69a-1773781568224-05313-irey5Th&terminal_id=5d4cdae683ee46f0ad3e2072bbc40853&scenario=c_ppc_item_bridge&productId=1005006784050493&_immersiveMode=true&withMainCard=true&OLP=1116833308_f_group1&o_s_id=1116833308&afSmartRedirect=n,
10nF Unpolarized PS Capacitor,,12,£0.18 ,£2.16 ,https://www.switchelectronics.co.uk/products/10nf-100v-5mm-polyester-box-capacitor,
100½ Trimmer Resistor,Various uses,4,£0.52 ,£2.08 ,https://www.switchelectronics.co.uk/products/100r-3296-variable-potentiometer-trimmer,
TL071 Single Op Amp,Various uses,6,£0.35 ,£2.08 ,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TL071CP?qs=3FVjRv9mUZ%2FN1XJT5coqUQ%3D%3D,
Veroboards,,5,£0.40 ,£1.99 ,https://www.aliexpress.com/item/32844204108.html?spm=a2g0o.productlist.main.5.2d7f380fwvBixb&algo_pvid=1b795c2f-962a-4b99-88eb-561d374d7bce&algo_exp_id=1b795c2f-962a-4b99-88eb-561d374d7bce-4&pdp_ext_f=%7B%22order%22%3A%221861%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.42%211.99%21%21%2121.50%2117.67%21%40211b628117739566209996471e281b%2165153718816%21sea%21UK%214777915101%21X%211%210%21n_tag%3A-29919%3Bd%3Ad383ee7c%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126762&curPageLogUid=94JLace0PLi3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32844204108%7C_p_origin_prod%3A,
10k½ Fixed Resistor,Various uses,50,£0.04 ,£1.97 ,https://www.switchelectronics.co.uk/products/10k-0-5w-metal-film-resistor-1-pack-of-50,
100k½ Fixed Resistor,Various uses,50,£0.04 ,£1.97 ,https://www.switchelectronics.co.uk/products/100k-0-5w-metal-film-resistor-1-pack-of-50,
4.7k½ Fixed Resistor,Various uses,50,£0.04 ,£1.97 ,https://www.switchelectronics.co.uk/products/4-7k-0-5w-metal-film-resistor-1-pack-of-50,
270½ Resistor,,3,£0.66 ,£1.97 ,https://www.switchelectronics.co.uk/products/270r-0-5w-metal-film-resistor-1-pack-of-50,
15k½ Resistor,,3,£0.66 ,£1.97 ,https://www.switchelectronics.co.uk/products/15k-0-5w-metal-film-resistor-1-pack-of-50,
470k½ Resistor,,2,£0.99 ,£1.97 ,https://www.switchelectronics.co.uk/products/470k-0-5w-metal-film-resistor-1-pack-of-50,
22k½ Resistor,,15,£0.13 ,£1.97 ,https://www.switchelectronics.co.uk/products/22k-0-5w-metal-film-resistor-1-pack-of-50,
1k½ Resistor,,11,£0.18 ,£1.97 ,https://www.switchelectronics.co.uk/products/1k-0-5w-metal-film-resistor-1-pack-of-50,
220k½ Resistor,,1,£1.97 ,£1.97 ,https://www.switchelectronics.co.uk/products/220k-0-5w-metal-film-resistor-1-pack-of-50,
47k½ Resistor,,1,£1.97 ,£1.97 ,https://www.switchelectronics.co.uk/products/47k-0-5w-metal-film-resistor-1-pack-of-50,
10k½ Resistor,,3,£0.66 ,£1.97 ,https://www.switchelectronics.co.uk/products/10k-0-5w-metal-film-resistor-1-pack-of-50,
5K½ Potentiometers,PWM adjust,3,£0.64 ,£1.92 ,https://www.switchelectronics.co.uk/products/5k-linear-16mm-potentiometer-solder-lugs,
499½ Resistor,,6,£0.32 ,£1.89 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/PR01000104990FA100?qs=7MVldsJ5UawqqaxjjxeT%252BQ%3D%3D,
Amber LED,Waveform Selection Indication,10,£0.18 ,£1.80 ,https://www.aliexpress.com/p/tesla-landing/index.html?UTABTest=aliabtest125094_24784&src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005006784050493&ds_e_product_merchant_id=5352391399&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17859500389&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17190468917&gbraid=0AAAAADznYb_6LHFq74zCUNIkGmmxeeDwp&gclid=Cj0KCQjw9-PNBhDfARIsABHN6-3mkEmhLHfLTFN5vEFrbZxns6Cdc7V6XB3JiG3q_7uBa_qddp86H6caAsCfEALw_wcB&aff_fcid=12229af95b1a4801aafa61cf7f3cc69a-1773781568224-05313-irey5Th&aff_fsk=irey5Th&aff_platform=promotion&sk=irey5Th&aff_trace_key=12229af95b1a4801aafa61cf7f3cc69a-1773781568224-05313-irey5Th&terminal_id=5d4cdae683ee46f0ad3e2072bbc40853&scenario=c_ppc_item_bridge&productId=1005006784050493&_immersiveMode=true&withMainCard=true&OLP=1116833308_f_group1&o_s_id=1116833308&afSmartRedirect=n,
390½ Resistor,,9,£0.20 ,£1.78 ,https://www.switchelectronics.co.uk/products/390r-0-25w-metal-film-resistor-pack-of-100,
22.1k½ Resistor,,3,£0.58 ,£1.73 ,https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CMF5522K100FHEB?qs=sGAEpiMZZMtlubZbdhIBIGU9LPTACpKjX66vd0JRprI%3D,
1M½ Potentiometer,Bias adjust pot,1,£1.70 ,£1.70 ,https://www.mouser.co.uk/ProductDetail/Bourns/PDB181-GTR01-105A2?qs=U%2FacTlguYxYr2ecQgPe%2FHA%3D%3D,
1µF caps unpolarized,Decoupling caps,10,£0.16 ,£1.60 ,https://www.switchelectronics.co.uk/products/1uf-multilayer-ceramic-capacitor-50v-y5v,
LM385BYZ-2.5,Shunt Voltage Reference 2.5V,1,£1.50 ,£1.50 ,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM385BYZ-2.5-NOPB?qs=QbsRYf82W3HrBcCF05YkkQ%3D%3D,
MCP4131,Digital Potentiometer,2,£0.72 ,£1.44 ,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.digikey.be/en/products/detail/renesas-electronics-corporation/X9C104P/387570%3Fsrsltid%3DAfmBOoqFO4bysvlmVFIBtfrYfbfU7E8X5LsYwpRAu5KhIUujzOPwegIh&ved=2ahUKEwiA4NbEmKeTAxWNS0EAHeZvO24QFnoECCIQAQ&usg=AOvVaw1U151xQvCSrENz4Ew_GQXM,
200½ Resistor,,2,£0.68 ,£1.37 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/MBE04140C2000DC100?qs=sGAEpiMZZMtG0KNrPCHnjW0BEZmmc%252BDp4PffS8Mhstof4TIkxpdkqQ%3D%3D,
300½ Trimmer Resistors,,2,£0.68 ,£1.35 ,https://www.mouser.co.uk/ProductDetail/Bourns/3362P-1-301LF?qs=78XbCJDlDc20qxrEQi%252BtUQ%3D%3D,
6.8nF Unpolarized Capacitor,,3,£0.43 ,£1.30 ,https://www.mouser.co.uk/ProductDetail/Vishay/564R20GAD68?qs=sGAEpiMZZMsh%252B1woXyUXj5SPnBXpwC%2FIKzk0PFyLM%2FM%3D,
Gravity I2C Dual Channel DAC 15 Bit,,1,£11.18 ,£11.18 ,https://www.mouser.co.uk/ProductDetail/DFRobot/DFR1073?qs=ZcfC38r4Pos55VxG%2FYgI%252BQ%3D%3D&srsltid=AfmBOoqCcMKvgvI-UMnkLinvYUrzkcVb70dEHDu9zODlb6rd6Uummo-g,
JST PH 4-Pin to Female Socket Cable,,1,£1.30 ,£1.30 ,https://thepihut.com/products/jst-ph-4-pin-to-female-socket-cable-i2c-stemma-cable-200mm,
NPN Transistors,Various uses,6,£0.17 ,£1.02 ,https://www.switchelectronics.co.uk/products/2n3904-bipolar-npn-40v-transistor-to92,
6N137 Optocoupler,MIDI optocoupling,1,£0.97 ,£0.97 ,https://www.switchelectronics.co.uk/products/6n137-1-channel-digital-output-optocoupler-dip-8,
4.99k½ Resistor,,1,£0.97 ,£0.97 ,https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CMF504K9900FHEB?qs=sGAEpiMZZMtlubZbdhIBINtbNoSbM%252B0dV84fw71vBjg%3D,
3.3nF unpolarized Cap,,5,£0.16 ,£0.80 ,https://www.switchelectronics.co.uk/collections/polyester-capacitors?page=1&rb_filter_metafield_6367c39af95112822ca835d3b3e5a1aa=3.3nF%7C100nF,
100pF Unpolarized Film Capacitor,,2,£0.39 ,£0.78 ,https://www.mouser.co.uk/ProductDetail/Vishay-Roederstein/KP1830110634?qs=2ImG92Kq1uw%2FOFeuXoLUsQ%3D%3D,
DIP Headers,Connecting DIP to protoboard,2,£0.38 ,£0.76 ,https://www.switchelectronics.co.uk/products/40-way-male-header-2-54mm,
470½ Fixed Resistor,Various uses,6,£0.12 ,£0.72 ,https://www.switchelectronics.co.uk/collections/metal-film-resistors?page=1&rb_filter_metafield_7404dac2374aab427d85e3a5d08be243=470½,
3.9nF Unpolarized Cap,,1,£0.68 ,£0.68 ,https://www.mouser.co.uk/ProductDetail/Panasonic/ECW-H8392JV?qs=doAwqMPOn2u2n6YE8ICUYw%3D%3D,
20k½ Resistor,,1,£0.66 ,£0.66 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/PR01000102002JA100?qs=sGAEpiMZZMtlubZbdhIBIJtUt%2F%252BM8a0iMKfw6TKDxYk%3D,
20k½ Resistor,,2,£0.33 ,£0.66 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/PR01000102002JA100?qs=sGAEpiMZZMtlubZbdhIBIJtUt%2F%252BM8a0iMKfw6TKDxYk%3D,
DIN-5 MIDI Jack,Midi jack for midi in,1,£0.65 ,£0.65 ,https://www.switchelectronics.co.uk/products/5-pin-din-panel-mount-socket-connector-180,
200k½ Potentiometer,Freq Cntrl,1,£0.64 ,£0.64 ,https://www.switchelectronics.co.uk/products/200k-linear-16mm-splined-potentiometer,
5.1k½ Resistor,,1,£0.63 ,£0.63 ,https://www.mouser.co.uk/ProductDetail/Vishay-Beyschlag/MBE04140C5101FR200?qs=sGAEpiMZZMtlubZbdhIBILAdz%2F2y2rDsre3N5prDmMo%3D,
400½ Resistor,,4,£0.16 ,£0.63 ,https://www.mouser.co.uk/ProductDetail/YAGEO/MFR-25FTF52-400R?qs=sGAEpiMZZMtlubZbdhIBIMMVXX%252Bgggzk7S9uEbDdYFQ%3D,
100k½ Trimmer Resistor,Top/Btm symmetry for sine ,1,£0.60 ,£0.60 ,https://www.switchelectronics.co.uk/products/100k-3296-variable-potentiometer-trimmer,
7909 Voltage converter,Powering LM13700s,1,£0.60 ,£0.60 ,https://www.aliexpress.com/p/tesla-landing/index.html?UTABTest=aliabtest125094_24784&src=google&src=google&albch=shopping&acnt=494-037-6276&slnk=&plac=&mtctp=&albbt=Google_7_shopping&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005010730059732&ds_e_product_merchant_id=5645293331&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17859500389&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17190468917&gbraid=0AAAAADznYb_6LHFq74zCUNIkGmmxeeDwp&gclid=Cj0KCQjw9-PNBhDfARIsABHN6-3tvdFRUvYFBustyI-5zxjLpgO4l8EoAL3HIm8S4MZXvEogPnj-dJcaAjKbEALw_wcB&aff_fcid=6c4593238522480aaebf9b7260410bdc-1773783416241-08062-irey5Th&aff_fsk=irey5Th&aff_platform=promotion&sk=irey5Th&aff_trace_key=6c4593238522480aaebf9b7260410bdc-1773783416241-08062-irey5Th&terminal_id=5d4cdae683ee46f0ad3e2072bbc40853&scenario=c_ppc_item_bridge&productId=1005010730059732&_immersiveMode=true&withMainCard=true&OLP=1116833308_f_group1&o_s_id=1116833308&afSmartRedirect=n,
10k½ Antilog Potentiometer,Q Cntrl,1,£0.57 ,£0.57 ,https://www.switchelectronics.co.uk/products/10k-reverse-logarithmic-16mm-potentiometer,
267½ Resistor,,3,£0.17 ,£0.50 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/SFR2500002670FR500?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvaf1Xx1HLN0g%3D,
1.2 nF Unpolarized Cap,,1,£0.47 ,£0.47 ,https://www.mouser.co.uk/ProductDetail/Murata-Electronics/RDE5C2A122J0P1H03B?qs=sGAEpiMZZMsh%252B1woXyUXj6LPjVItmqadmrMIqa5zF28%3D,
750½ Resistor,,2,£0.23 ,£0.45 ,https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CCF07750RJKE36?qs=sGAEpiMZZMtlubZbdhIBIA2poYoZEnjL66NUYIqcOwI%3D,
30k½ Resistor,,2,£0.23 ,£0.45 ,https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CCF0730K0GKE36?qs=sGAEpiMZZMtlubZbdhIBICS9vICa6AcHNgXKI%252Br5TCA%3D,
MCP1700-2702E/TO,LDO Voltage Regulator 2.7V,1,£0.41 ,£0.41 ,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP1700-2702E-TO?qs=uHi2%2FQoPa5Dcla82%252B8bA6A%3D%3D,
7809 Voltage converter,Powering LM13700s,1,£0.41 ,£0.41 ,https://www.mouser.co.uk/ProductDetail/onsemi/MC7809CTG?qs=%252B9%2Fcbd0IE0RZOsET7SgWUA%3D%3D,
1.2M½ Resistor,,1,£0.38 ,£0.38 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/VR37000001204JA100?qs=sGAEpiMZZMtlubZbdhIBIJxQofqEVEUOKq6j3RqjayA%3D,
499k½ Resistor,,2,£0.19 ,£0.37 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/VR25000004993FA100?qs=sGAEpiMZZMtlubZbdhIBIOS2OZV6cmO0BgeUmv2aCc0%3D,
100nF Unpolarized Cap,,2,£0.18 ,£0.36 ,https://www.switchelectronics.co.uk/products/100nf-100v-5mm-polyester-box-capacitor,
43½ Resistor,,1,£0.30 ,£0.30 ,https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Neohm/4-2176791-8?qs=sGAEpiMZZMtlubZbdhIBIDGZcfZ%252BXTfObit72uSUpJM%3D,
70k½ Resistor,,1,£0.28 ,£0.28 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/MBB02070C7002FCT00?qs=sGAEpiMZZMtlubZbdhIBIDf1ptYLsLpZRJSha1Lf9gY%3D,
68.1k½ Resistor,,1,£0.28 ,£0.28 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/MBB0207IC6812FCT00?qs=sGAEpiMZZMtlubZbdhIBIDf1ptYLsLpZjhsDCcB%2F5uw%3D,
82k½ Resistor,,1,£0.28 ,£0.28 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/PR02000208202JR500?qs=LCMWAU1DZczMYqN1b%252BCYzg%3D%3D,
910½ Resistor,,1,£0.23 ,£0.23 ,https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CCF07910RGKE36?qs=sGAEpiMZZMtG0KNrPCHnjXeT93wkI597URo8o%2FTamQs%3D,
162k½ Resistor,,1,£0.23 ,£0.23 ,https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CCF55162KFKE36?qs=sGAEpiMZZMtlubZbdhIBIK%2FmTSw8IDwvzvROw0bCn3c%3D,
